code	ns	english	translation	
2894	Super groups	"SOCIAL ASPECTS, ENVIRONMENTAL POLICY MEASURES"	"SOSİAL ASPEKTLƏR, EKOLOJİ SİYASƏT TƏDBİRLƏRİ"	
4044	Super groups	"HUMAN ACTIVITIES AND PRODUCTS, EFFECTS ON THE ENVIRONMENT"	"İNSAN FƏALİYYƏTİ VƏ ONUN NƏTİCƏLƏRİ,
ƏTRAF MÜHİTƏ TƏSİRLƏRİ"	
5306	Super groups	ACCESSORY LISTS	KÖMƏKÇİ TERMİNLƏR	
5499	Super groups	"NATURAL ENVIRONMENT, ANTHROPIC ENVIRONMENT"	"TƏBİİ MÜHİT,"	
10111	Groups	"ENVIRONMENT (natural environment, anthropic environment)"	"ƏTRAF MÜHİT (TƏBİİ MÜHİT,"	
10112	Groups	"PRODUCTS, MATERIALS"	"MƏHSULLAR, MATERİALLAR"	
10114	Groups	"EFFECTS, IMPACTS"	TƏSİRLƏR	
10117	Groups	GENERAL TERMS	ÜMUMİ TERMİNLƏR	
10118	Groups	RESOURCES (utilisation of resources)	RESURSLAR (resurslardan istifadə)	
1062	Groups	"ANTHROPOSPHERE (built environment, human settlements, land setup)"	"ANTROPOSFERA ( yaradılmış mühit, yaşayış
məntəqələri, regional planlaşdırma)"	
13109	Groups	ENVIRONMENTAL POLICY	EKOLOJİ SİYASƏT	
1349	Groups	"CHEMISTRY, SUBSTANCES, PROCESSES"	"KİMYA, MADDƏLƏR, PROSESLƏR"	
14979	Groups	TIME (chronology)	ZAMAN (xronologiya)	
14980	Groups	FUNCTIONAL TERMS	FUNKSİONAL TERMİNLƏR	
1922	Groups	"INFORMATION, EDUCATION, CULTURE, ENVIRONMENTAL AWARENESS"	"İNFORMASİYA, TƏHSİL, MƏDƏNİYYƏT, ƏTRAF
MÜHİTƏ DAİR MAARİFLƏNDİRMƏ"	
234	Groups	"AGRICULTURE, FORESTRY; ANIMAL HUSBANDRY; FISHERY"	"KƏND TƏSƏRRÜFATI, MEŞƏÇİLİK, HEYVANDARLIQ
BALIQÇILIQ"	
2504	Groups	"ECONOMICS, FINANCE"	"İQTİSADİYYAT, MALİYYƏ"	
2711	Groups	ENERGY	ENERJİ	
3875	Groups	"HEALTH, NUTRITION"	"SAĞLAMLIQ, QİDALANMA"	
4125	Groups	"HYDROSPHERE (freshwater, marine water, waters)"	"HİDROSFER (içməli su, dəniz suyu, su resursları)"	
4281	Groups	"INDUSTRY, CRAFTS; TECHNOLOGY; EQUIPMENTS"	"SƏNAYE, SƏNƏT, TEXNOLOGİYALAR, AVADANLIQ"	
4630	Groups	"LAND (landscape, geography)"	"TORPAQ (landşaft, coğrafiya)"	
4750	Groups	"LEGISLATION, NORMS, CONVENTIONS"	"QANUNVERİCİLİK, NORMALAR, KONVENSİYALAR"	
4856	Groups	"LITHOSPHERE (soil, geological processes)"	"LİTOSFER (torpaq, geoloji proseslər)"	
618	Groups	"ATMOSPHERE (air, climate)"	"ATMOSFER (hava, iqlim)"	
6237	Groups	"PHYSICAL ASPECTS, NOISE, VIBRATIONS, RADIATIONS"	"FİZİKİ ASPEKTLƏR, SƏS, VİBRASİYA, RADİASİYA"	
7007	Groups	"RECREATION, TOURISM"	"İSTİRAHƏT, TURİZM"	
